,leaid,rla_score,math_score
14866,4842960,69,70.0
14878,4843470,36,26.0
14881,4843650,43,64.0
14883,4843720,25,18.0
14886,4843800,42,55.0
14895,4844150,33,34.0
14896,4844160,39,53.0
14898,4844280,25,42.0
14902,4844430,44,50.0
14909,4844730,49,33.0
14910,4844800,51,45.0
14916,4844960,24,36.0
14930,4845540,40,26.0
14932,4845600,55,42.0
14937,4845780,36,34.0
14939,4845900,34,30.0
14955,4846530,66,70.0
14959,4846680,43,67.0
14982,4900030,47,50.0
15020,4900090,49,43.0
15022,4900120,52,55.0
15037,4900142,44,50.0
15082,4900210,43,46.0
15083,4900240,39,40.0
15087,4900360,31,29.0
15088,4900390,39,41.0
15089,4900420,39,41.0
15092,4900510,35-39,35.0
15095,4900600,45,36.0
15096,4900630,38,43.0
15099,4900720,30,21.0
15100,4900750,35-39,38.0
15102,4900810,45,38.0
15104,4900870,34,30.0
15106,4900930,41,44.0
15110,4901050,37,37.0
15111,4901080,36,34.0
15112,4901110,49,33.0
15113,4901140,44,44.0
15115,4901200,32,38.0
15118,5300003,66,29.0
15126,5300240,75,45.0
15128,5300300,69,36.0
15131,5300330,93,79.0
15142,5300380,73,43.0
15143,5300390,87,77.0
15144,5300420,80,57.0
15146,5300480,63,33.0
15155,5300810,86,64.0
15162,5301080,76,48.0
15163,5301110,81,46.0
15167,5301230,64,39.0
15172,5301410,62,31.0
15194,5302280,73,41.0
15195,5302310,67,30.0
15198,5302400,79,51.0
15205,5302670,77,45.0
15206,5302700,67,37.0
15208,5302820,63,29.0
15209,5302850,67,32.0
15212,5302940,60,28.0
15228,5303540,68,38.0
15233,5303750,89,79.0
15237,5303930,72,36.0
15238,5303960,70,43.0
15246,5304200,80,47.0
15247,5304230,91,75.0
15252,5304470,63,35.0
15263,5304860,63,33.0
15265,5304920,80,51.0
15267,5304980,95,86.0
15271,5305130,76,49.0
15274,5305220,63,33.0
15280,5305400,64,29.0
15281,5305430,75,53.0
15291,5305760,80,52.0
15294,5305850,73,38.0
15296,5305910,89,70.0
15297,5305940,77,41.0
15304,5306180,89,65.0
15305,5306220,74,32.0
15317,5306570,53,24.0
15321,5306690,81,50.0
15329,5306960,75,40.0
15331,5307020,54,15.0
15337,5307230,75,50.0
15339,5307320,78,45.0
15349,5307710,81,58.0
15355,5307900,62,27.0
15356,5307920,84,62.0
15359,5308020,82,57.0
15360,5308040,87,65.0
15364,5308160,72,33.0
15367,5308250,66,39.0
15370,5308340,79,46.0
15379,5308610,83,50.0
15380,5308670,49,22.0
15381,5308700,63,31.0
15383,5308760,88,60.0
15389,5308970,44,13.0
15393,5309100,79,47.0
15395,5309180,82,56.0
15397,5309270,63,35.0
15402,5309450,63,32.0
15409,5309660,59,32.0
15410,5309690,63,31.0
15411,5309720,69,46.0
15422,5310110,54,21.0
15423,5310140,76,32.0
15426,5400060,55,24.0
15430,5400180,52,22.0
15434,5400300,39,12.0
15437,5400390,56,24.0
15441,5400510,57,29.0
15444,5400570,59,37.0
15445,5400600,55,29.0
15448,5400690,41,15.0
15449,5400720,58,27.0
15450,5400750,47,20.0
15453,5400840,45,21.0
15456,5400930,62,42.0
15460,5401050,56,29.0
15465,5401200,64,38.0
15466,5401230,47,27.0
15475,5401500,47,16.0
15479,5401620,53,23.0
15519,5500390,42,37.0
15537,5501050,16,14.0
15555,5501770,69,64.0
15570,5502550,35,30.0
15588,5503210,58,46.0
15591,5503510,60,51.0
15600,5504050,43,39.0
15618,5504680,32,36.0
15623,5504830,58,50.0
15631,5505160,58,61.0
15644,5505820,21,24.0
15650,5506030,60,62.0
15653,5506120,51,39.0
15655,5506180,59,67.0
15664,5506630,48,48.0
15666,5506690,47,55.0
15673,5507020,30,29.0
15679,5507320,32,23.0
15683,5507470,44,41.0
15685,5507530,39,33.0
15689,5507650,35,36.0
15704,5508520,47,40.0
15706,5508610,25,30.0
15716,5508910,32,25.0
15721,5509060,67,57.0
15724,5509130,70,63.0
15731,5509510,61,55.0
15733,5509600,18,10.0
15746,5510060,56,58.0
15748,5510170,54,53.0
15750,5510320,48,43.0
15754,5510470,58,55.0
15765,5510830,36,38.0
15767,5510890,46,43.0
15776,5511190,33,37.0
15805,5512360,22,13.0
15825,5513170,43,40.0
15836,5513650,26,26.0
15855,5514490,39,33.0
15860,5514640,46,44.0
15861,5514670,36,34.0
15875,5515330,50,46.0
15886,5515750,34,33.0
15887,5515780,41,36.0
15891,5515900,36,31.0
15894,5515990,42,41.0
15897,5516260,22,22.0
15898,5516290,37,44.0
15916,5517070,34,33.0
15922,5600730,46,50.0
15929,5601470,38,37.0
15931,5601980,42,36.0
15937,5602760,40,44.0
15947,5604060,63,47.0
15954,5604510,45,39.0
15959,5605220,43,37.0
15960,5605302,41,36.0
15963,5605695,75,66.0
15965,5605762,52,40.0
15967,5605830,60,58.0
