,leaid,math_score,rla_score
939,2507170,73.0,80.0
940,2507230,92.0,96.0
941,2507350,88.0,98.0
942,2507560,72.0,90.0
943,2507740,71.0,88.0
944,2508050,85.0,95.0
945,2508340,91.0,97.0
946,2508370,93.0,98.0
947,2508430,44.0,60.0
948,2508440,86.0,97.0
949,2508610,93.0,97.0
950,2508700,88.0,94.0
951,2508910,90.0,97.0
952,2508960,73.0,94.0
953,2509360,70.0,85.0
954,2509630,69.0,86.0
955,2509720,69.0,91.0
956,2509870,82.0,91.0
957,2509990,88.0,96.0
958,2510050,67.0,83.0
959,2510615,82.0,96.0
960,2510770,89.0,97.0
961,2510830,88.0,93.0
962,2510890,68.0,84.0
963,2511020,77.0,95.0
964,2511130,47.0,74.0
965,2511490,85.0,94.0
966,2511520,60.0,84.0
967,2511880,92.0,97.0
968,2512000,64.0,74.0
969,2512270,96.0,98.0
970,2512630,69.0,88.0
971,2512660,96.0,98.0
972,2512840,72.0,90.0
973,2512950,83.0,96.0
974,2513200,78.0,90.0
975,2513230,59.0,81.0
976,2700117,19.0,58.0
977,2703180,46.0,63.0
978,2703450,34.0,45.0
979,2704440,47.0,55.0
980,2705790,52.0,60.0
981,2706090,50.0,57.0
982,2707200,50.0,59.0
983,2707290,39.0,54.0
984,2707410,43.0,64.0
985,2708100,59.0,62.0
986,2708190,60.0,62.0
987,2711040,46.0,57.0
988,2711250,64.0,73.0
989,2711370,57.0,67.0
990,2711670,70.0,78.0
991,2711820,36.0,38.0
992,2712270,54.0,63.0
993,2713530,58.0,71.0
994,2714220,62.0,70.0
995,2714260,55.0,56.0
996,2717780,58.0,72.0
997,2718780,45.0,59.0
998,2721240,26.0,35.0
999,2721420,53.0,59.0
1000,2722950,59.0,63.0
1001,2723430,57.0,65.0
1002,2723850,49.0,62.0
1003,2723880,57.0,67.0
1004,2725200,42.0,59.0
1005,2728050,46.0,59.0
1006,2730060,61.0,63.0
1007,2731780,27.0,49.0
1008,2731800,46.0,55.0
1009,2732390,64.0,73.0
1010,2732430,43.0,53.0
1011,2732880,56.0,68.0
1012,2733000,45.0,54.0
1013,2733330,49.0,58.0
1014,2733510,35.0,41.0
1015,2733540,50.0,65.0
1016,2733790,62.0,62.0
1017,2733810,63.0,75.0
1018,2733840,27.0,40.0
1019,2738190,58.0,72.0
1020,2741460,60.0,62.0
1021,2742160,77.0,71.0
1022,2742270,46.0,60.0
1023,2742360,56.0,55.0
1024,2742720,39.0,43.0
1025,2800187,14.0,12.0
1026,2800189,19.0,33.0
1027,2800630,69.0,55.0
1028,2801090,48.0,58.0
1029,2801320,64.0,50.0
1030,2801560,43.0,45.0
1031,2801620,2.0,20.0
1032,2801710,49.0,45.0
1033,2801740,49.0,52.0
1034,2801770,52.0,54.0
1035,2801800,15.0,20.0
1036,2801860,28.0,32.0
1037,2802160,50.0,53.0
1038,2802190,4.0,17.0
1039,2802280,32.0,40.0
1040,2802400,59.0,57.0
1041,2802430,47.0,43.0
1042,2802550,36.0,38.0
1043,2802730,29.0,48.0
1044,2802790,35.0,58.0
1045,2802910,10.0,19.0
1046,2803030,15.0,20.0
1047,2803360,65.0,67.0
1048,2803450,35.0,65.0
1049,2803480,42.0,46.0
1050,2803530,71.0,61.0
1051,2803830,43.0,52.0
1052,2804320,26.0,42.0
1053,2804470,17.0,18.0
1054,2901000,31.0,57.0
1055,2904620,34.0,63.0
1056,2905310,57.0,65.0
1057,2905760,46.0,61.0
1058,2906990,27.0,67.0
1059,2907460,36.0,49.0
1060,2908370,62.0,64.0
1061,2912010,12.0,38.0
1062,2912290,32.0,54.0
1063,2912300,44.0,69.0
1064,2913080,35.0,71.0
1065,2913830,30.0,45.0
1066,2915480,39.0,52.0
1067,2915600,70.0,60.0
1068,2916190,55.0,53.0
1069,2916350,39.0,48.0
1070,2916400,17.0,33.0
1071,2916450,40.0,63.0
1072,2916770,73.0,81.0
1073,2918270,25.0,39.0
1074,2918300,56.0,69.0
1075,2918540,43.0,69.0
1076,2920670,48.0,60.0
1077,2922530,74.0,75.0
1078,2922800,43.0,50.0
1079,2922890,38.0,60.0
1080,2923430,55.0,68.0
1081,2923550,73.0,70.0
1082,2923580,56.0,69.0
1083,2923700,42.0,58.0
1084,2923730,30.0,61.0
1085,2925450,23.0,54.0
1086,2926070,19.0,47.0
1087,2926220,54.0,59.0
1088,2926640,21.0,48.0
1089,2926850,67.0,75.0
1090,2927060,39.0,47.0
1091,2927830,42.0,59.0
1092,2928860,27.0,57.0
1093,2928920,39.0,65.0
1094,2928950,65.0,75.0
1095,2929280,20.0,34.0
1096,2930450,45.0,66.0
1097,2931110,30.0,65.0
1098,2931440,38.0,53.0
1099,2931500,51.0,67.0
1100,2931650,56.0,69.0
1101,2932010,46.0,63.0
1102,3003900,34.0,40.0
1103,3004590,52.0,68.0
1104,3013050,32.0,45.0
1105,3013830,39.0,55.0
1106,3015420,32.0,54.0
1107,3018540,39.0,53.0
1108,3100016,35.0,31.0
1109,3100022,37.0,30.0
1110,3103810,52.0,45.0
1111,3170110,85.0,85.0
1112,3170710,51.0,42.0
1113,3172390,58.0,49.0
1114,3172840,51.0,51.0
1115,3173740,65.0,70.0
1116,3174430,52.0,44.0
1117,3174820,23.0,30.0
1118,3175270,61.0,60.0
1119,3178660,61.0,65.0
1120,3200001,22.0,42.0
1121,3200060,24.0,43.0
1122,3200090,44.0,59.0
1123,3200120,25.0,40.0
1124,3200300,28.0,42.0
1125,3200360,21.0,31.0
1126,3200390,27.0,44.0
1127,3200480,32.0,46.0
1128,3300017,55.0,77.0
1129,3301740,63.0,82.0
1130,3302460,40.0,62.0
1131,3302640,35.0,61.0
1132,3304050,39.0,65.0
1133,3304410,48.0,71.0
1134,3304590,26.0,49.0
1135,3304980,31.0,60.0
1136,3305940,30.0,55.0
1137,3307360,41.0,68.0
1138,3400009,38.0,58.0
1139,3400022,5.0,30.0
1140,3400024,49.0,62.0
1141,3400070,20.0,52.0
1142,3400073,7.0,23.0
1143,3400078,7.0,31.0
1144,3400753,6.0,30.0
1145,3400785,11.0,31.0
1146,3400960,11.0,24.0
1147,3400990,25.0,49.0
1148,3401050,20.0,41.0
1149,3401260,23.0,59.0
1150,3401350,13.0,41.0
1151,3401470,74.0,82.0
1152,3401500,29.0,61.0
1153,3401530,41.0,47.0
